id,ts_local,series,event,station,threshold,side,price_paid_c,count,entry_bid,entry_ask,entry_mtd,needs_in,note,result,pnl_c
1,2026-07-24 14:13,KXRAINMIAM,KXRAINMIAM-26JUL,MIA,4.0,yes,60,1,57,67,2.67,1.33,PAPER Tier3: model 70% vs mkt 60c (+10c). Testing if ensemble delta predicts; NOT a real bet,,
2,2026-07-27 20:35,KXRAINMIAM,KXRAINMIAM-26JUL,,5.0,yes,30,1,,30,4.70,0.30,AUTO Tier3 model 93% vs 30c (+63c),,
3,2026-07-27 20:35,KXRAINCHIM,KXRAINCHIM-26JUL,,7.0,yes,20,1,,20,6.13,0.87,AUTO Tier3 model 32% vs 20c (+12c),,
4,2026-07-28 16:25,KXRAINSTPM,KXRAINSTPM-26JUL,,9.0,yes,36,1,,36,7.40,1.60,AUTO Tier3 model 46% vs 36c (+10c),,
5,2026-07-28 16:25,KXRAINSTPM,KXRAINSTPM-26JUL,,10.0,yes,8,1,,8,7.40,2.60,AUTO Tier3 model 25% vs 8c (+17c),,
6,2026-07-30 07:41,KXRAINDENM,KXRAINDENM-26JUL,,1.0,yes,73,1,,73,0.98,0.02,AUTO Tier3 model 90% vs 73c (+17c),,
7,2026-07-30 13:17,KXRAINSTPM,KXRAINSTPM-26JUL,,8.0,yes,68,1,,68,7.54,0.46,AUTO Tier3 model 79% vs 68c (+11c),,
8,2026-07-31 20:50,KXRAINDENM,KXRAINDENM-26JUL,,1.0,yes,22,1,,22,1.00,0.00,AUTO Tier2 APPROACH raining 0.01in/hr,,
